#GeneID	Symbol	Synonyms	chromosome	map_location
95	ACY1	ACY-1|ACY1D|HEL-S-5	3	3p21.2
97	ACYP1	ACYPE	14	14q24.3
98	ACYP2	ACYM|ACYP	2	2p16.2
100	ADA	-	20	20q13.12
101	ADAM8	CD156|CD156a|MS2	10	10q26.3
102	ADAM10	AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz	15	15q21.3
103	ADAR	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	1	1q21.3
104	ADARB1	ADAR2|DRABA2|DRADA2|RED1	21	21q22.3
105	ADARB2	ADAR3|RED2	10	10p15.3
106	ADCP1	-	6	-
107	ADCY1	AC1|DFNB44	7	7p12.3
108	ADCY2	AC2|HBAC2	5	5p15.31
109	ADCY3	AC-III|AC3|BMIQ19	2	2p23.3
111	ADCY5	AC5|FDFM	3	3q21.1
112	ADCY6	AC6|LCCS8	12	12q13.12
113	ADCY7	AC7	16	16q12.1
114	ADCY8	AC8|ADCY3|HBAC1	8	8q24.22
115	ADCY9	AC9|ACIX	16	16p13.3
116	ADCYAP1	PACAP	18	18p11.32
117	ADCYAP1R1	PAC1|PAC1R|PACAPR|PACAPRI	7	7p14.3
118	ADD1	ADDA	4	4p16.3
119	ADD2	ADDB	2	2p13.3
120	ADD3	ADDL|CPSQ3	10	10q25.1-q25.2
122	ADFN	ALDS	X	Xq25-q26|Xq26.3-q27.1
123	PLIN2	ADFP|ADRP	9	9p22.1
124	ADH1A	ADH1	4	4q23
125	ADH1B	ADH2|HEL-S-117	4	4q23
126	ADH1C	ADH3	4	4q23
127	ADH4	ADH-2|HEL-S-4	4	4q23
128	ADH5	ADH-3|ADHX|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p	4	4q23
130	ADH6	ADH-5	4	4q23
131	ADH7	ADH4	4	4q23
132	ADK	AK	10	10q22.2|10q11-q24
133	ADM	AM|PAMP	11	11p15.4
134	ADORA1	RDC7	1	1q32.1
135	ADORA2A	A2aR|ADORA2|RDC8	22	22q11.23
136	ADORA2B	ADORA2	17	17p12
137	ADORA2BP1	ADORA2BP	1	1q32.2
140	ADORA3	A3AR	1	1p13.2
141	ADPRH	ARH1	3	3q13.33
142	PARP1	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1	1	1q42.12
143	PARP4	ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193	13	13q12.12
144	PARP1P1	ADPRTP1|PPOLP1	13	13q34
145	PARP1P2	ADPRTP2|PPOLP2	14	14q23.2
146	ADRA1D	ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2	20	20p13
147	ADRA1B	ADRA1|ALPHA1BAR	5	5q33.3
148	ADRA1A	ADRA1C|ADRA1L1|ALPHA1AAR	8	8p21.2
150	ADRA2A	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32	10	10q25.2
151	ADRA2B	ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR	2	2q11.2
152	ADRA2C	ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR	4	4p16.3
153	ADRB1	ADRB1R|B1AR|BETA1AR|RHR	10	10q25.3
154	ADRB2	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	5	5q32
155	ADRB3	BETA3AR	8	8p11.23
156	GRK2	ADRBK1|BARK1|BETA-ARK1	11	11q13.2
157	GRK3	ADRBK2|BARK2	22	22q12.1
158	ADSL	AMPS|ASASE|ASL	22	22q13.1
159	ADSS	ADEH|ADSS 2	1	1q44
160	AP2A1	ADTAA|AP2-ALPHA|CLAPA1	19	19q13.33
161	AP2A2	ADTAB|CLAPA2|HIP-9|HIP9|HYPJ	11	11p15.5
162	AP1B1	ADTB1|AP105A|BAM22|CLAPB2	22	22q12.2
163	AP2B1	ADTB2|AP105B|AP2-BETA|CLAPB1	17	17q12
164	AP1G1	ADTG|CLAPG1	16	16q22.2
165	AEBP1	ACLP	7	7p13
166	AES	AES-1|AES-2|ESP1|GRG|GRG5|Grg-5|TLE5	19	19p13.3
167	CRISP1	AEGL1|ARP|CRISP-1|HEL-S-57|HSCRISP1D|HSCRISP1G|HUMARP	6	6p12.3
169	AF8T	-	3	-
170	AFA	-	-	-
171	AFD1	AFDN	9	9q32
172	AFG3L1P	AFG3|AFG3L1	16	16q24.3
173	AFM	ALB2|ALBA|ALF	4	4q13.3
174	AFP	AFPD|FETA|HPAFP	4	4q13.3
175	AGA	AGU|ASRG|GA	4	4q34.3
176	ACAN	AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD	15	15q26.1
177	AGER	RAGE|SCARJ1	6	6p21.32
178	AGL	GDE	1	1p21.2
179	AGMX2	IMD6|XLA2	X	Xp22
181	AGRP	AGRT|ART|ASIP2	16	16q22.1
182	JAG1	AGS|AGS1|AHD|AWS|CD339|DCHE|HJ1|JAGL1	20	20p12.2
183	AGT	ANHU|SERPINA8|hFLT1	1	1q42.2
185	AGTR1	AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|HAT1R	3	3q24
186	AGTR2	AT2|ATGR2|MRX88	X	Xq23
187	APLNR	AGTRL1|APJ|APJR|HG11	11	11q12.1
189	AGXT	AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6	2	2q37.3
190	NR0B1	AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2	X	Xp21.2
191	AHCY	SAHH|adoHcyase	20	20q11.22
192	AIC	-	X	Xp22
196	AHR	bHLHe76	7	7p21.1
197	AHSG	A2HS|AHS|APMR1|FETUA|HSGA	3	3q27.3
199	AIF1	AIF-1|IBA1|IRT-1|IRT1	6	6p21.33
201	AIH3	-	X	Xq22-q28
202	CRYBG1	AIM1|ST4	6	6q21
203	AK1	HTL-S-58j	9	9q34.11
204	AK2	ADK2	1	1p35.1
205	AK4	AK 4|AK3|AK3L1|AK3L2	1	1p31.3
206	AK4P1	AK3P1	17	17q11.2
207	AKT1	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	14	14q32.33
208	AKT2	HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA	19	19q13.2
210	ALAD	ALADH|PBGS	9	9q32
211	ALAS1	ALAS|ALAS-H|ALAS3|ALASH|MIG4	3	3p21.2
212	ALAS2	ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA	X	Xp11.21
213	ALB	HSA|PRO0883|PRO0903|PRO1341	4	4q13.3
214	ALCAM	CD166|MEMD	3	3q13.11
215	ABCD1	ABC42|ALD|ALDP|AMN	X	Xq28
216	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	9	9q21.13
217	ALDH2	ALDH-E2|ALDHI|ALDM	12	12q24.12
218	ALDH3A1	ALDH3|ALDHIII	17	17p11.2
219	ALDH1B1	ALDH5|ALDHX	9	9p13.1
220	ALDH1A3	ALDH1A6|ALDH6|MCOP8|RALDH3	15	15q26.3
221	ALDH3B1	ALDH4|ALDH7	11	11q13.2
222	ALDH3B2	ALDH8	11	11q13.2
223	ALDH9A1	ALDH4|ALDH7|ALDH9|E3|TMABADH	1	1q24.1
224	ALDH3A2	ALDH10|FALDH|SLS	17	17p11.2
225	ABCD2	ABC39|ALDL1|ALDR|ALDRP|hALDR	12	12q12
226	ALDOA	ALDA|GSD12|HEL-S-87p	16	16p11.2
228	ALDOAP2	-	10	10q26.13
229	ALDOB	ALDB|ALDO2	9	9q31.1
230	ALDOC	ALDC	17	17q11.2
231	AKR1B1	ADR|ALDR1|ALR2|AR	7	7q33
236	AKR1B1P2	ALDRP	3	3p12.3
238	ALK	CD246|NBLST3	2	2p23.2-p23.1
239	ALOX12	12-LOX|12S-LOX|LOG12	17	17p13.1
240	ALOX5	5-LO|5-LOX|5LPG|LOG5	10	10q11.21
241	ALOX5AP	FLAP	13	13q12.3
242	ALOX12B	12R-LOX|ARCI2	17	17p13.1
243	ALOX12P1	ALOX12P	17	17q11.2
245	ALOX12P2	ALOX12E	17	17p13.1
246	ALOX15	12-LOX|15-LOX|15-LOX-1|LOG15	17	17p13.2
247	ALOX15B	15-LOX-2	17	17p13.1
248	ALPI	IAP	2	2q37.1
249	ALPL	AP-TNAP|APTNAP|HOPS|TNALP|TNAP|TNSALP	1	1p36.12
250	ALPP	ALP|PALP|PLAP|PLAP-1	2	2q37.1
251	ALPG	ALPPL|ALPPL2|GCAP	2	2q37.1
253	ALS3	ALS6	18	18q21
255	ALS5	-	15	15q15.1-q21.1
257	ALX3	FND|FND1	1	1p13.3
258	AMBN	AI1F	4	4q13.3
259	AMBP	A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI	9	9q32
261	AMCN	AMC|AMC1|AMCN1	5	5q35
262	AMD1	ADOMETDC|AMD|SAMDC	6	6q21
263	AMD1P2	AMD|AMD2|AMDP1|AMDPX|AMDPY	X|Y	Xq28 and Yq12
265	AMELX	AI1E|AIH1|ALGN|AMG|AMGL|AMGX	X	Xp22.2
266	AMELY	AMGL|AMGY	Y	Yp11.2
267	AMFR	GP78|RNF45	16	16q13
268	AMH	MIF|MIS	19	19p13.3
269	AMHR2	AMHR|MISR2|MISRII|MRII	12	12q13.13
270	AMPD1	MAD|MADA|MMDD	1	1p13.2
271	AMPD2	PCH9|SPG63	1	1p13.3
272	AMPD3	-	11	11p15.4
273	AMPH	AMPH1	7	7p14.1
274	BIN1	AMPH2|AMPHL|CNM2|SH3P9	2	2q14.3
275	AMT	GCE|GCST|GCVT|NKH	3	3p21.31
276	AMY1A	AMY1	1	1p21.1
277	AMY1B	AMY1	1	1p21.1
278	AMY1C	AMY1	1	1p21.1
279	AMY2A	AMY2|PA	1	1p21.1
280	AMY2B	AMY2|AMY3|HXA	1	1p21.1
281	AMYP1	AMY2P	1	1p21.1
282	ANCR	-	15	15q11-q12
283	ANG	ALS9|HEL168|RAA1|RNASE4|RNASE5	14	14q11.2
284	ANGPT1	AGP1|AGPT|ANG1	8	8q23.1
285	ANGPT2	AGPT2|ANG2	8	8p23.1
286	ANK1	ANK|SPH1|SPH2	8	8p11.21
287	ANK2	ANK-2|LQT4|brank-2	4	4q25-q26
288	ANK3	ANKYRIN-G|MRT37	10	10q21.2
289	ANOP1	MCOPS4	X	Xq27-q28
290	ANPEP	APN|CD13|GP150|LAP1|P150|PEPN	15	15q26.1
291	SLC25A4	AAC1|ANT|ANT 1|ANT1|MTDPS12|MTDPS12A|PEO2|PEO3|PEOA2|T1	4	4q35.1
292	SLC25A5	2F1|AAC2|ANT2|T2|T3	X	Xq24
293	SLC25A6	AAC3|ANT|ANT 2|ANT 3|ANT3|ANT3Y	X|Y	Xp22.33 and Yp11.2
301	ANXA1	ANX1|LPC1	9	9q21.13
302	ANXA2	ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV	15	15q22.2
303	ANXA2P1	ANX2L1|ANX2P1|LPC2A	4	4q31.3
304	ANXA2P2	ANX2L2|ANX2P2|LPC2B	9	9p13.3
305	ANXA2P3	ANX2L3|ANX2P3|LIP2|LPC2C	10	10q21.3
306	ANXA3	ANX3	4	4q21.21
307	ANXA4	ANX4|HEL-S-274|P32.5|PAP-II|PIG28|PP4-X|ZAP36	2	2p13.3
308	ANXA5	ANX5|ENX2|HEL-S-7|PP4|RPRGL3	4	4q27
309	ANXA6	ANX6|CBP68|CPB-II|p68|p70	5	5q33.1
310	ANXA7	ANX7|SNX|SYNEXIN	10	10q22.2
311	ANXA11	ALS23|ANX11|CAP-50|CAP50	10	10q22.3
312	ANXA13	ANX13|ISA	8	8q24.13
313	AOAH	-	7	7p14.2
314	AOC2	DAO2|RAO|SSAO	17	17q21.31
316	AOX1	AO|AOH1	2	2q33.1
317	APAF1	APAF-1|CED4	12	12q23.1
318	NUDT2	APAH1	9	9p13.3
319	APOF	Apo-F|LTIP	12	12q13.3
320	APBA1	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	9	9q21.12
321	APBA2	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	15	15q13.1
322	APBB1	FE65|MGC:9072|RIR	11	11p15.4
323	APBB2	FE65L|FE65L1	4	4p14-p13
324	APC	BTPS2|DP2|DP2.5|DP3|GS|PPP1R46	5	5q22.2
325	APCS	HEL-S-92n|PTX2|SAP	1	1q23.2
326	AIRE	AIRE1|APECED|APS1|APSI|PGA1	21	21q22.3
327	APEH	AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH	3	3p21.31
328	APEX1	APE|APE1|APEN|APEX|APX|HAP1|REF1	14	14q11.2
329	BIRC2	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	11	11q22.2
330	BIRC3	AIP1|API2|CIAP2|HAIP1|HIAP1|MALT2|MIHC|RNF49|c-IAP2	11	11q22.2
331	XIAP	API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3	X	Xq25
332	BIRC5	API4|EPR-1	17	17q25.3
333	APLP1	APLP	19	19q13.12
334	APLP2	APLP-2|APPH|APPL2|CDEBP	11	11q24.3
335	APOA1	apo(a)	11	11q23.3
336	APOA2	Apo-AII|ApoA-II|apoAII	1	1q23.3
337	APOA4	-	11	11q23.3
338	APOB	FLDB|LDLCQ4|apoB-100|apoB-48	2	2p24.1
339	APOBEC1	APOBEC-1|BEDP|CDAR1|HEPR	12	12p13.31
341	APOC1	Apo-CI|ApoC-I|apo-CIB|apoC-IB	19	19q13.32
342	APOC1P1	-	19	19q13.32
343	AQP8	AQP-8	16	16p12.1
344	APOC2	APO-CII|APOC-II	19	19q13.32
345	APOC3	APOCIII	11	11q23.3
346	APOC4	APO-CIV|APOC-IV	19	19q13.32
347	APOD	-	3	3q29
348	APOE	AD2|APO-E|ApoE4|LDLCQ5|LPG	19	19q13.32
350	APOH	B2G1|B2GP1|BG	17	17q24.2
351	APP	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|preA4	21	21q21.3
353	APRT	AMP|APRTD	16	16q24.3
354	KLK3	APS|KLK2A1|PSA|hK3	19	19q13.33
355	FAS	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	10	10q23.31
356	FASLG	ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6|TNLG1A	1	1q24.3
357	SHROOM2	APXL|HSAPXL	X	Xp22.2
358	AQP1	AQP-CHIP|CHIP28|CO	7	7p14.3
359	AQP2	AQP-CD|WCH-CD	12	12q13.12
360	AQP3	AQP-3|GIL	9	9p13.3
361	AQP4	MIWC|WCH4	18	18q11.2
362	AQP5	AQP-5|PPKB	12	12q13.12
363	AQP6	AQP2L|KID	12	12q13.12
364	AQP7	AQP7L|AQPap|GLYCQTL	9	9p13.3
366	AQP9	AQP-9|HsT17287|SSC1|T17287	15	15q21.3
367	AR	AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	X	Xq12
368	ABCC6	ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7	16	16p13.11
369	ARAF	A-RAF|ARAF1|PKS2|RAFA1	X	Xp11.3
372	ARCN1	COPD|SRMMD	11	11q23.3
373	TRIM23	ARD1|ARFD1|RNF46	5	5q12.3
374	AREG	AR|AREGB|CRDGF|SDGF	4	4q13.3
375	ARF1	-	1	1q42.13
377	ARF3	-	12	12q13.12
378	ARF4	ARF2	3	3p14.3
379	ARL4D	ARF4L|ARL6	17	17q21.31
380	ARF4P1	ARF4P	9	9q34.2
381	ARF5	-	7	7q32.1
382	ARF6	-	14	14q21.3
383	ARG1	-	6	6q23.2
384	ARG2	-	14	14q24.1
387	RHOA	ARH12|ARHA|RHO12|RHOH12	3	3p21.31
388	RHOB	ARH6|ARHB|MST081|MSTP081|RHOH6	2	2p24.1
389	RHOC	ARH9|ARHC|H9|RHOH9	1	1p13.2
390	RND3	ARHE|Rho8|RhoE|memB	2	2q23.3
391	RHOG	ARHG	11	11p15.4
392	ARHGAP1	CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP	11	11p11.2
393	ARHGAP4	C1|RGC1|RhoGAP4|SrGAP4|p115	X	Xq28
394	ARHGAP5	GFI2|RhoGAP5|p190-B|p190BRhoGAP	14	14q12
395	ARHGAP6	RHOGAP6|RHOGAPX-1	X	Xp22.2
396	ARHGDIA	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	17	17q25.3
397	ARHGDIB	D4|GDIA2|GDID4|LYGDI|Ly-GDI|RAP1GN1|RhoGDI2	12	12p12.3
398	ARHGDIG	RHOGDI-3	16	16p13.3
399	RHOH	ARHH|TTF	4	4p14
400	ARL1	ARFL1	12	12q23.2
401	PHOX2A	ARIX|CFEOM2|FEOM2|NCAM2|PMX2A	11	11q13.4
402	ARL2	ARFL2	11	11q13.1
403	ARL3	ARFL3	10	10q24.32
405	ARNT	HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2	1	1q21.3
406	ARNTL	BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5	11	11p15.3
407	ARR3	ARRX|MYP26|cArr	X	Xq13.1
408	ARRB1	ARB1|ARR1	11	11q13.4
409	ARRB2	ARB2|ARR2|BARR2	17	17p13.2
410	ARSA	ASA|MLD	22	22q13.33
411	ARSB	ASB|G4S|MPS6	5	5q14.1
412	STS	ARSC|ARSC1|ASC|ES|SSDD|XLI	X	Xp22.31
413	ARSC2	ARSC	X	Xpter-p22.32
414	ARSD	ASD	X	Xp22.33
415	ARSE	ASE|CDPX|CDPX1|CDPXR	X	Xp22.33
416	ARSF	ASF	X	Xp22.33
417	ART1	ART2|ARTC1|CD296|RT6	11	11p15.4
418	ART2P	ART1P|RT6	11	11q13.4
419	ART3	ARTC3	4	4q21.1|4p15.1-p14
420	ART4	ARTC4|CD297|DO|DOK1	12	12p12.3
421	ARVCF	-	22	22q11.21
424	ARVD3	ARVD2	14	14q12-q22
425	ARVD4	-	2	2q32.1-q32.3
427	ASAH1	AC|ACDase|ASAH|PHP|PHP32|SMAPME	8	8p22
429	ASCL1	ASH1|HASH1|MASH1|bHLHa46	12	12q23.2
430	ASCL2	ASH2|HASH2|MASH2|bHLHa45	11	11p15.5
431	ASD1	-	5	5p15.31
432	ASGR1	ASGPR|ASGPR1|CLEC4H1|HL-1	17	17p13.1
433	ASGR2	ASGP-R2|ASGPR2|CLEC4H2|HBXBP|HL-2	17	17p13.1
434	ASIP	AGSW|AGTI|AGTIL|ASP|SHEP9	20	20q11.22
435	ASL	ASAL	7	7q11.21
436	ASLP1	ASLL	22	22q11.23
438	ASMT	ASMTY|HIOMT|HIOMTY	X|Y	Xp22.33 and Yp11.2
439	ASNA1	ARSA-I|ARSA1|ASNA-I|GET3|TRC40	19	19p13.13
440	ASNS	ASNSD|TS11	7	7q21.3
442	ASNSP2	ASNSL2	21	21p11.2
443	ASPA	ACY2|ASP	17	17p13.2
444	ASPH	AAH|BAH|CASQ2BP1|FDLAB|HAAH|JCTN|junctin	8	8q12.3
445	ASS1	ASS|CTLN1	9	9q34.11
447	ASS1P2	ASSP2	2	2p22.1
449	ASS1P4	ASSP4	X	Xp22.33
450	ASS1P5	ASSP5	X	Xq23
451	ASS1P6	ASSP6	Y	Yq11.21
453	ASS1P8	ASSP8	4	4q31.23
454	ASS1P9	ASSP9	5	5q11.2
455	ASS1P10	ASSP10	5	5q32
459	ASS1P14	ASSP14	12	12p11.21
460	ASTN1	ASTN	1	1q25.2
462	SERPINC1	AT3|AT3D|ATIII|ATIII-R2|THPH7	1	1q25.1
463	ZFHX3	ATBF1|ATBT|ZNF927	16	16q22.2-q22.3
465	ATD	ATD1	15	15q13
466	ATF1	EWS-ATF1|FUS/ATF-1|TREB36	12	12q13.12
467	ATF3	-	1	1q32.3
468	ATF4	CREB-2|CREB2|TAXREB67|TXREB	22	22q13.1
469	ATF4P1	ATF4P|TAXREB67P|TXREBP	X	Xq28
470	ATHS	ALP	19	19p13.3-p13.2
471	ATIC	AICAR|AICARFT|HEL-S-70p|IMPCHASE|PURH	2	2q35
472	ATM	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	11	11q22.3
473	RERE	ARG|ARP|ATN1L|DNB1|NEDBEH	1	1p36.23
474	ATOH1	ATH1|HATH1|MATH-1|bHLHa14	4	4q22.2
475	ATOX1	ATX1|HAH1	5	5q33.1
476	ATP1A1	CMT2DD	1	1p13.1
477	ATP1A2	FHM2|MHP2	1	1q23.2
478	ATP1A3	AHC2|ATP1A1|CAPOS|DYT12|RDP	19	19q13.2
479	ATP12A	ATP1AL1|HK	13	13q12.12|13q12.1-q12.3
480	ATP1A4	ATP1A1|ATP1AL2	1	1q23.2
481	ATP1B1	ATP1B	1	1q24.2
482	ATP1B2	AMOG	17	17p13.1
483	ATP1B3	ATPB-3|CD298	3	3q23
484	ATP1B3P1	-	2	2p16.1
485	ATP1B1P1	ATP1BL1	4	4p13
486	FXYD2	ATP1G1|HOMG2	11	11q23.3
487	ATP2A1	ATP2A|SERCA1	16	16p11.2
488	ATP2A2	ATP2B|DAR|DD|SERCA2	12	12q24.11
489	ATP2A3	SERCA3	17	17p13.2
490	ATP2B1	PMCA1|PMCA1kb	12	12q21.33
491	ATP2B2	PMCA2|PMCA2a|PMCA2i	3	3p25.3
492	ATP2B3	CFAP39|CLA2|OPCA|PMCA3|PMCA3a|SCAX1	X	Xq28
493	ATP2B4	ATP2B2|MXRA1|PMCA4|PMCA4b|PMCA4x	1	1q32.1
495	ATP4A	ATP6A	19	19q13.12
496	ATP4B	ATP6B	13	13q34
498	ATP5F1A	ATP5A|ATP5A1|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1	18	18q21.1
501	ALDH7A1	ATQ1|EPD|PDE	5	5q23.2
504	ATP5F1AP2	ATP5A1P2|ATP5AP2	2	2q24.1
506	ATP5F1B	ATP5B|ATPMB|ATPSB|HEL-S-271	12	12q13.3
507	ATP5F1BP1	ATP5BL1|ATP5BP1|ATPMBL1|ATPSBL1	2	2q11.2
509	ATP5F1C	ATP5C|ATP5C1|ATP5CL1	10	10p14
